,frame,xcoord,ycoord,brand,conf
1802,91390,323,250,Asics,0.8204869031906128
1803,91390,323,250,Asics,0.8112456798553467
1804,91390,210,66,Asics,0.9498523473739624
1805,91390,210,66,Asics,0.8403605818748474
1806,91400,323,250,Asics,0.9160386919975281
1807,91400,323,250,Asics,0.8620361685752869
1808,91410,461,256,Asics,0.8906782865524292
1809,91410,422,71,Asics,0.9946072101593018
1810,91420,454,48,Asics,0.8665670156478882
1811,91430,463,255,Nike,0.8467422723770142
1812,91460,463,255,Nike,0.9198821783065796
1813,91470,463,255,Asics,0.8679454922676086
1814,91470,323,249,Asics,0.8443174362182617
1815,91570,464,255,Asics,0.8934847712516785
1816,91580,323,249,Asics,0.9415070414543152
1817,91600,464,255,Asics,0.8074958324432373
1818,91630,479,59,NB,0.8676406145095825
1819,92030,116,106,Asics,0.8780969977378845
1820,92040,459,173,Asics,0.9822043180465698
1821,92480,323,249,Asics,0.8230873942375183
1822,92740,323,250,Asics,0.8246068954467773
1823,92740,203,110,Asics,0.9660891890525818
1824,92740,203,110,Adidas,0.8040476441383362
1825,92750,470,255,Asics,0.9376766681671143
1826,92750,470,255,Nike,0.8077295422554016
1827,92750,323,250,Asics,0.9613842964172363
1828,92750,323,250,Asics,0.8455779552459717
1829,92750,440,105,Asics,0.9947070479393005
1830,92910,464,254,Asics,0.915912926197052
1831,92930,166,67,NB,0.9997608065605164
1832,92940,260,69,NB,0.9999018907546997
1833,92940,260,69,Nike,0.8706033229827881
1834,92950,137,173,Nike,0.9806406497955322
1835,92950,409,77,NB,0.9764269590377808
1836,93020,33,59,NB,0.883247971534729
1837,93030,464,254,Asics,0.9270102977752686
1838,93030,84,60,Asics,0.9566601514816284
1839,93030,84,60,Adidas,0.8418722152709961
1840,93050,199,255,Asics,0.8577405214309692
1841,93050,468,254,Asics,0.873768150806427
1842,93060,199,256,Asics,0.9599004983901978
1843,93060,199,256,Asics,0.9334500432014465
1844,93060,199,256,Asics,0.908116340637207
1845,93060,199,256,Asics,0.883806586265564
1846,93060,167,108,Nike,0.9954633712768555
1847,93080,347,58,Asics,0.952110767364502
1848,93090,464,254,Nike,0.8365615606307983
1849,93090,137,173,Nike,0.8380794525146484
1850,93390,464,254,Nike,0.8096178770065308
1851,93860,199,256,Asics,0.9456839561462402
1852,93860,199,256,Asics,0.8738745450973511
1853,93860,199,256,Asics,0.8142833113670349
1854,93870,137,174,Asics,0.8898493051528931
1855,93880,471,256,Asics,0.9129362106323242
1856,93940,42,86,Nike,0.99146968126297
1857,94480,398,140,NB,0.9835934042930603
1858,94490,353,140,Nike,0.9538061618804932
1859,94500,212,109,Nike,0.9409070611000061
1860,94520,67,103,Nike,0.8151994347572327
1861,94790,193,102,Nike,0.8080260157585144
1862,94800,200,256,Asics,0.8702039122581482
1863,94800,200,256,Asics,0.8458359241485596
1864,94800,200,256,Asics,0.8347769975662231
1865,94800,200,256,Asics,0.8061975240707397
1866,94800,324,249,Asics,0.962215781211853
1867,95410,199,256,Asics,0.9657023549079895
1868,95410,199,256,Asics,0.927958607673645
1869,95570,199,255,Asics,0.954555869102478
1870,95570,199,255,Asics,0.8921233415603638
1871,95600,200,256,Asics,0.958552360534668
1872,95600,200,256,Asics,0.8052022457122803
1873,95600,43,73,Asics,0.8850709199905396
1874,95680,200,256,Asics,0.9298199415206909
1875,95680,200,256,Asics,0.8060321807861328
1876,95680,266,63,Nike,0.9816117286682129
1877,95680,266,63,Nike,0.9071743488311768
1878,95680,266,63,Nike,0.8129781484603882
1879,95690,199,255,Asics,0.9420111775398254
1880,95690,199,255,Asics,0.9396717548370361
1881,95700,476,237,Asics,0.8922277092933655
1882,95710,318,73,Asics,0.9712144732475281
1883,95710,180,103,Nike,0.99375319480896
1884,95720,200,256,Nike,0.8898346424102783
1885,95860,200,256,Asics,0.913077175617218
1886,95900,200,256,Asics,0.9938996434211731
1887,95900,200,256,Asics,0.8297522068023682
1888,96020,200,256,Asics,0.8633968234062195
1889,96030,200,256,Asics,0.9149513244628906
1890,96030,200,256,Asics,0.8494905829429626
1891,96030,200,256,Asics,0.8006616830825806
1892,96030,474,236,Asics,0.8042737245559692
